_id,data,messageType,service
62f40da7e66a71ae9cac64b4,"[""Q"",""2022-08-10T15:57:14.455025263-04:00"",1660161434455025200,""spy"",700,419.91,419.925,419.94,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b5,"[""Q"",""2022-08-10T15:57:14.455531778-04:00"",1660161434455531800,""spy"",100,419.9,419.92,419.94,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b6,"[""Q"",""2022-08-10T15:57:14.455745758-04:00"",1660161434455745800,""tqqq"",4300,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b7,"[""Q"",""2022-08-10T15:57:14.455845435-04:00"",1660161434455845400,""tqqq"",4300,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b8,"[""Q"",""2022-08-10T15:57:14.463373397-04:00"",1660161434463373300,""spy"",500,419.91,419.925,419.94,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64b9,"[""Q"",""2022-08-10T15:57:14.620109011-04:00"",1660161434620109000,""qqq"",100,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64ba,"[""Q"",""2022-08-10T15:57:14.635220500-04:00"",1660161434635220500,""spy"",500,419.91,419.92,419.93,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64bb,"[""Q"",""2022-08-10T15:57:14.637168922-04:00"",1660161434637169000,""spy"",500,419.89,419.91,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64bc,"[""Q"",""2022-08-10T15:57:14.734190013-04:00"",1660161434734190000,""spy"",200,419.92,419.925,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64bd,"[""Q"",""2022-08-10T15:57:14.850219915-04:00"",1660161434850220000,""spy"",200,419.91,419.92,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64be,"[""Q"",""2022-08-10T15:57:14.850725125-04:00"",1660161434850725000,""spy"",500,419.89,419.91,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64bf,"[""Q"",""2022-08-10T15:57:14.868353599-04:00"",1660161434868353500,""qqq"",224,325.99,325.995,326,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c0,"[""Q"",""2022-08-10T15:57:14.868518439-04:00"",1660161434868518400,""tqqq"",4300,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c1,"[""Q"",""2022-08-10T15:57:14.868689781-04:00"",1660161434868689700,""tqqq"",4300,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c2,"[""Q"",""2022-08-10T15:57:14.872629513-04:00"",1660161434872629500,""spy"",400,419.87,419.9,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c3,"[""Q"",""2022-08-10T15:57:14.879797746-04:00"",1660161434879797800,""spy"",500,419.89,419.91,419.93,300,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c4,"[""Q"",""2022-08-10T15:57:14.883547076-04:00"",1660161434883547100,""qqq"",224,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c5,"[""T"",""2022-08-10T15:57:14.906712055-04:00"",1660161434906712000,""qqq"",null,null,null,null,null,325.995,100,null,0,0,0,0]",A,iex
62f40da7e66a71ae9cac64c6,"[""Q"",""2022-08-10T15:57:14.953154685-04:00"",1660161434953154600,""tqqq"",4300,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c7,"[""Q"",""2022-08-10T15:57:14.963364991-04:00"",1660161434963364900,""qqq"",224,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c8,"[""Q"",""2022-08-10T15:57:14.976564604-04:00"",1660161434976564500,""qqq"",224,325.99,325.995,326,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64c9,"[""Q"",""2022-08-10T15:57:15.013671904-04:00"",1660161435013672000,""qqq"",224,325.99,326,326.01,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64ca,"[""Q"",""2022-08-10T15:57:15.013904605-04:00"",1660161435013904600,""tqqq"",4300,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64cb,"[""Q"",""2022-08-10T15:57:15.024159923-04:00"",1660161435024160000,""tqqq"",4400,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64cc,"[""Q"",""2022-08-10T15:57:15.034185730-04:00"",1660161435034185700,""tqqq"",4400,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64cd,"[""Q"",""2022-08-10T15:57:15.076565355-04:00"",1660161435076565200,""qqq"",224,325.99,325.995,326,800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64ce,"[""Q"",""2022-08-10T15:57:15.130111989-04:00"",1660161435130112000,""tqqq"",4400,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64cf,"[""Q"",""2022-08-10T15:57:15.130304386-04:00"",1660161435130304500,""tqqq"",4400,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64d0,"[""Q"",""2022-08-10T15:57:15.130770518-04:00"",1660161435130770400,""tqqq"",4400,36.56,36.565,36.57,1800,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64d1,"[""Q"",""2022-08-10T15:57:15.130784150-04:00"",1660161435130784300,""tqqq"",4400,36.56,36.575,36.59,100,null,null,0,0,null,null,null]",A,iex
62f40da7e66a71ae9cac64d2,"[""T"",""2022-08-10T15:57:15.137948845-04:00"",1660161435137949000,""qqq"",null,null,null,null,null,325.99,100,null,0,0,0,0]",A,iex
